Type,Category
Income,Benefits & Support
Income,Bonus
Income,Business Income
Income,Cash
Income,Child Support / Maintenance
Income,Commission
Income,Dividends
Income,Freelance
Income,Gift
Income,Insurance Payout
Income,Interest
Income,Investment Withdrawal
Income,Investments
Income,Overtime
Income,Pension
Income,Refund
Income,Reimbursement
Income,Rental Income
Income,Salary
Income,Sale of Items
Income,Savings Transfer
Income,Side Hustle
Income,Tax Refund
Income,Tips
Expense,Accessories
Expense,Accounting Fees
Expense,AI Services
Expense,Allowance
Expense,Alternative Treatments
Expense,Baby Expenses
Expense,Bank Fees
Expense,Bank Transfer
Expense,Books
Expense,Books (Education)
Expense,Breakdown Cover
Expense,Business Travel
Expense,Car Insurance
Expense,Car Payments
Expense,Car Wash
Expense,Cash ATM Withdrawal
Expense,Certifications
Expense,Charity
Expense,Childcare
Expense,Children’s Clothing
Expense,Cleaning Services
Expense,Clothing
Expense,Cloud Storage
Expense,Coffee / Snacks
Expense,Council Tax / Local Taxes
Expense,Coworking Space
Expense,Credit Card
Expense,Critical Illness Cover
Expense,Cryptocurrency
Expense,Currency Exchange
Expense,Debt Payments
Expense,Devices
Expense,Dining Out
Expense,Doctor / Dental
Expense,Donations
Expense,Electricity
Expense,Emergency Fund Contributions
Expense,EV Charging
Expense,Events
Expense,Financial Advisor Fees
Expense,Fuel
Expense,Furniture & Home Décor
Expense,Games
Expense,Gaming Subscriptions
Expense,Gas
Expense,Gifts
Expense,Groceries
Expense,Gym / Fitness
Expense,Hair / Beauty
Expense,Health Insurance
Expense,Hobbies
Expense,Holidays
Expense,Home Insurance
Expense,Hotels / Accommodation
Expense,Income Protection
Expense,Internet
Expense,Investments
Expense,Kids Activities
Expense,Legal Fees
Expense,Licences
Expense,Life Insurance
Expense,Loans
Expense,Maintenance & Repairs
Expense,Medical Equipment
Expense,Membership Subscriptions
Expense,Memberships
Expense,Mental Health / Therapy
Expense,Mobile Phone
Expense,Mortgage
Expense,Movies
Expense,Music
Expense,Music Streaming
Expense,Networking Events
Expense,News & Magazines
Expense,Nightlife
Expense,Office Supplies
Expense,Online Courses
Expense,Parking
Expense,Passport Renewal
Expense,Pension / Retirement Contributions
Expense,Pet Food
Expense,Pet Insurance
Expense,Pharmacy / Medication
Expense,Professional Memberships
Expense,Property Tax
Expense,Public Transport
Expense,Purchases
Expense,Registrations
Expense,Renewals
Expense,Rent
Expense,Repairs
Expense,Ride Sharing
Expense,Road Tolls
Expense,Savings
Expense,School Fees
Expense,School Supplies
Expense,Security System
Expense,Service Charges
Expense,Sewer Charges
Expense,Smart Home Services
Expense,Software Purchases
Expense,Software Subscriptions
Expense,Sports Events
Expense,Takeaway / Delivery
Expense,Taxes
Expense,Toiletries
Expense,Training / Courses
Expense,Travel
Expense,Tuition
Expense,TV / Streaming
Expense,Vehicle Maintenance
Expense,Vehicle Tax / Registration
Expense,Vet Bills
Expense,Video Streaming
Expense,Vision / Eye Care
Expense,Waste / Trash Collection
Expense,Water
Expense,Wellbeing
